timestamp temperature humidity pressure pm10_standard pm25_standard pm100_standard pm10_env pm25_env pm100_env particles_03um particles_05um particles_10um particles_25um particles_50um particles_100um
1663586384.9495451 20.859375 61.52684784665565 979.5554320542832 4 5 6 4 5 6 705 217 37 2 0 0 
1663586390.0817525 20.84921875 61.51506051842355 979.5208330063542 3 4 5 3 4 5 705 217 37 2 0 0 
1663586395.215827 20.844140625 61.79228650718698 979.5629253494429 3 4 5 3 4 5 705 217 37 2 0 0 
1663586400.3465362 20.84921875 61.691866115718334 979.5545068773246 2 3 4 2 3 4 633 196 35 2 0 0 
1663586405.475557 20.84921875 61.66805930365264 979.5735737199337 2 3 4 2 3 4 633 196 35 2 0 0 
1663586410.6068687 20.84921875 61.60889278740701 979.5359862448255 2 3 4 2 3 4 633 196 35 2 0 0 
1663586415.7404242 20.8390625 61.62727126015091 979.5713438233116 2 3 4 2 3 4 603 184 33 4 0 0 
1663586420.87187 20.844140625 61.426193205665946 979.5511394889675 2 3 4 2 3 4 603 184 33 4 0 0 
1663586426.0059958 20.84921875 61.59733848893457 979.5709647415226 2 3 4 2 3 4 603 184 33 4 0 0 
1663586431.1385574 20.84921875 61.656738860839354 979.5558113678401 1 3 3 1 3 3 540 165 31 4 0 0 
1663586436.2680464 20.84921875 61.69775947597127 979.5767738398167 1 3 3 1 3 3 540 165 31 4 0 0 
1663586441.4024742 20.854296875 61.585783869789466 979.5541276600032 1 3 3 1 3 3 540 165 31 4 0 0 
1663586446.5343506 20.854296875 61.64471886287884 979.5674294474214 2 4 4 2 4 4 555 165 29 4 0 0 
1663586451.6678865 20.844140625 61.63269908169735 979.5565696655907 2 4 4 2 4 4 555 165 29 4 0 0 
1663586456.8012502 20.844140625 61.53863513368597 979.5881807763 2 4 4 2 4 4 555 165 29 4 0 0 
1663586461.9323106 20.82890625 61.67937912486099 979.5788363294644 3 4 5 3 4 5 732 218 38 4 0 0 
1663586467.065765 20.833984375 61.73265139641462 979.5792150276908 4 5 6 4 5 6 732 218 38 4 0 0 
1663586472.2003987 20.833984375 61.75622394979842 979.585571002514 4 5 6 4 5 6 696 211 40 4 0 0 
1663586477.3331764 20.82890625 61.78498547831787 979.5775313731564 4 5 6 4 5 6 696 211 40 4 0 0 
1663586482.4665682 20.8390625 61.66759273532862 979.5805199976218 3 4 5 3 4 5 696 211 40 4 0 0 
1663586487.5998259 20.8390625 61.82647040381592 979.5926842664848 2 3 3 2 3 3 675 204 35 0 0 0 
1663586492.7336748 20.82890625 61.73171521798584 979.5577757309294 2 3 3 2 3 3 675 204 35 0 0 0 
1663586497.8677573 20.82890625 61.72063116378265 979.5721016575349 2 3 3 2 3 3 675 204 35 0 0 0 
1663586503.0010922 20.833984375 61.63766064176392 979.5707967557198 2 4 4 2 4 4 654 200 39 0 0 0 
1663586508.1321597 20.82890625 61.63742765590714 979.5661244902506 2 4 4 2 4 4 654 200 39 0 0 0 
1663586513.2663105 20.823828125 61.554923876292605 979.591826537705 2 4 4 2 4 4 654 200 39 0 0 0 
