timestamp temperature humidity pressure pm10_standard pm25_standard pm100_standard pm10_env pm25_env pm100_env particles_03um particles_05um particles_10um particles_25um particles_50um particles_100um
1687096257.5436752 20.478125 51.596144706569554 982.6833088337113 2 2 2 2 2 2 420 125 12 0 0 0 
1687096262.6981056 20.462890625 51.62543498404851 982.6927600320636 2 2 2 2 2 2 420 125 12 0 0 0 
1687096267.8500123 20.462890625 51.63134068734924 982.695779976395 2 2 2 2 2 2 420 125 12 0 0 0 
1687096272.998282 20.462890625 51.63134068734924 982.6661815167379 2 3 3 2 3 3 468 146 28 0 0 0 
1687096278.147817 20.4578125 51.584213839887305 982.6792979117291 2 3 3 2 3 3 468 146 28 0 0 0 
1687096283.299745 20.44765625 51.489364966934865 982.6826634413931 1 3 3 1 3 3 390 122 25 0 0 0 
1687096288.4502566 20.442578125 51.5897622471749 982.6796787101615 1 3 3 1 3 3 390 122 25 0 0 0 
1687096293.6014142 20.452734375 51.7727107292859 982.7183816824306 1 3 3 1 3 3 390 122 25 0 0 0 
1687096298.7532384 20.442578125 51.70184700506161 982.7035822387098 1 2 2 1 2 2 432 134 25 0 0 0 
1687096303.9051983 20.442578125 51.6782254346444 982.6601768689985 1 2 2 1 2 2 432 134 25 0 0 0 
1687096309.0584695 20.432421875 51.495152686178656 982.6820520941812 1 2 2 1 2 2 432 134 25 0 0 0 
1687096314.2123513 20.42734375 51.796088545549175 982.6655702915008 1 2 2 1 2 2 441 137 23 0 0 0 
1687096319.3645136 20.432421875 51.59531014183535 982.6864525819665 2 3 3 2 3 3 441 137 23 0 0 0 
1687096324.514001 20.42734375 51.69558041387663 982.6544818728715 2 3 3 2 3 3 441 137 23 0 0 0 
1687096329.6678605 20.42734375 51.61881221046746 982.6945210854636 2 3 3 2 3 3 432 137 21 0 0 0 
1687096334.8162954 20.412109375 51.78403551132055 982.7086719194497 2 3 3 2 3 3 432 137 21 0 0 0 
1687096339.9694626 20.412109375 51.76029441756945 982.6780392350208 2 3 3 2 3 3 432 137 21 0 0 0 
1687096345.1203487 20.422265625 51.65400398781257 982.6847699124374 1 2 2 1 2 2 411 123 24 0 0 0 
1687096350.2746534 20.4171875 51.53578098072966 982.6968933227254 1 2 2 1 2 2 411 123 24 0 0 0 
1687096355.4253418 20.412109375 51.71293398733614 982.7019412923306 2 3 3 2 3 3 537 156 14 0 0 0 
1687096360.5776725 20.40703125 51.807168312213236 982.7164356096508 2 3 3 2 3 3 537 156 14 0 0 0 
1687096365.7292938 20.401953125 51.70678783815781 982.680756148648 3 4 4 3 4 4 552 161 18 0 0 0 
1687096370.8775358 20.412109375 51.60640439328462 982.7160913651824 3 4 4 3 4 4 552 161 18 0 0 0 
1687096376.0280123 20.401953125 51.83090883899122 982.6794180626963 3 4 4 3 4 4 552 161 18 0 0 0 
1687096381.1823726 20.401953125 51.82500416100706 982.7026303266767 3 4 4 3 4 4 546 164 20 0 0 0 
1687096386.3312793 20.40703125 51.730165258824385 982.734944395817 3 4 4 3 4 4 546 164 20 0 0 0 
1687096391.482981 20.401953125 51.63580944007001 982.7120760020572 3 4 4 3 4 4 546 164 20 0 0 0 
1687096396.6334412 20.391796875 51.78330664639029 982.7474103911696 3 5 5 3 5 5 588 176 27 0 0 0 
1687096401.785113 20.401953125 51.78933276557801 982.7362829313304 3 5 5 3 5 5 588 176 27 0 0 0 
1687096406.9343276 20.396875 51.88983235428154 982.7201449507165 2 4 4 2 4 4 588 176 27 0 0 0 
1687096412.0868735 20.391796875 51.70100354868676 982.7635489001675 2 4 4 2 4 4 588 176 27 0 0 0 
1687096417.2389114 20.391796875 51.70076246429782 982.7369709854756 2 4 4 2 4 4 588 176 27 0 0 0 
1687096422.391231 20.396875 51.93079403878087 982.6982711159812 3 5 5 3 5 5 588 176 27 0 0 0 
1687096427.541897 20.38671875 51.907177045289316 982.7154411806442 3 4 4 3 4 4 531 162 25 0 0 0 
1687096432.6923554 20.38671875 51.94850667597068 982.7537970272258 3 4 4 3 4 4 531 162 25 0 0 0 
1687096437.8429697 20.396875 51.93091724320208 982.7184623476252 2 3 3 2 3 3 417 118 22 4 0 0 
1687096442.9915316 20.391796875 51.7598095888032 982.6864929021713 2 3 3 2 3 3 417 118 22 4 0 0 
1687096448.1473565 20.38671875 51.812585562913455 982.7457278005128 2 3 3 2 3 3 417 118 22 4 0 0 
1687096453.3020213 20.381640625 51.771254750336254 982.7107373830092 2 3 3 2 3 3 402 118 29 4 0 0 
1687096458.4539645 20.381640625 51.98356017068895 982.7676014845047 2 3 3 2 3 3 402 118 29 4 0 0 
1687096463.6015136 20.381640625 51.895000025272985 982.7612146824888 2 3 3 2 3 3 402 118 29 4 0 0 
1687096468.7534301 20.371484375 51.717993600748066 982.7669491331534 2 3 3 2 3 3 453 135 29 2 0 0 
1687096473.9036515 20.371484375 51.71787279663567 982.7046948013492 2 3 3 2 3 3 453 135 29 2 0 0 
1687096479.0548744 20.3765625 51.948136390034776 982.7383457796296 2 3 3 2 3 3 453 135 29 2 0 0 
1687096484.2034097 20.3765625 51.71787279663567 982.7548278805085 2 4 4 2 4 4 474 142 31 2 0 0 
1687096489.3515356 20.381640625 51.877410347262376 982.7477540631423 2 4 4 2 4 4 474 142 31 2 0 0 
1687096494.502481 20.381640625 51.87753296508611 982.7568538296027 2 4 4 2 4 4 474 142 31 2 0 0 
1687096499.6562276 20.371484375 51.92476665821212 982.7602189305067 2 4 4 2 4 4 489 146 35 2 0 0 
1687096504.8089914 20.3765625 51.729681566335266 982.733641596539 2 4 4 2 4 4 489 146 35 2 0 0 
1687096509.9618971 20.371484375 51.877165079331704 982.7504669585376 2 4 4 2 4 4 489 146 35 2 0 0 
1687096515.1151254 20.361328125 51.68244624085935 982.7104296471604 2 4 4 2 4 4 510 149 35 2 0 0 
1687096520.2703326 20.361328125 51.94198561465776 982.7656097903132 1 2 3 1 2 3 333 100 23 2 2 0 
1687096525.4228632 20.371484375 51.84161834936837 982.733641596539 1 2 3 1 2 3 318 91 21 2 2 0 
1687096530.577121 20.371484375 51.75908202281361 982.7403717404995 1 2 3 1 2 3 318 91 21 2 2 0 
1687096535.7304683 20.36640625 51.84174059405203 982.77941307998 1 2 3 1 2 3 318 91 21 2 2 0 
1687096540.8838437 20.361328125 51.89487718321861 982.7646133676302 1 2 3 1 2 3 318 91 23 2 2 0 
1687096546.0364695 20.361328125 51.75896072415064 982.7222072981036 1 2 3 1 2 3 318 91 23 2 2 0 
1687096551.1905606 20.371484375 51.77691623400445 982.7588796421583 1 2 3 1 2 3 318 91 23 2 2 0 
1687096556.3439584 20.381640625 51.765350307424704 982.7279068676132 1 1 3 1 1 3 312 87 19 2 2 0 
1687096561.4972506 20.381640625 51.877165079331704 982.7666058292776 1 1 3 1 1 3 312 87 19 2 2 0 
1687096566.6503484 20.3765625 51.89512285656632 982.7366632300515 1 1 3 1 1 3 312 87 19 2 2 0 
1687096571.8042037 20.381640625 51.818611854947314 982.7430499351645 1 1 2 1 1 2 291 83 19 2 2 0 
1687096576.9568892 20.381640625 52.04297251191773 982.7312719932463 1 1 2 1 1 2 291 83 19 2 2 0 
