timestamp temperature humidity pressure pm10_standard pm25_standard pm100_standard pm10_env pm25_env pm100_env particles_03um particles_05um particles_10um particles_25um particles_50um particles_100um
1632016302.1262286 18.175390625 71.8909368928133 988.2209508083569 4 8 9 4 8 9 924 263 53 12 0 0 
1632016307.2801774 18.190625 72.03181276785087 988.2103831478134 4 7 8 4 7 8 861 251 53 10 0 0 
1632016312.4363706 18.2060546875 71.904761851663 988.22227744992 4 7 8 4 7 8 861 251 53 10 0 0 
1632016317.5906126 18.2162109375 71.68317360978803 988.185383599824 4 7 8 4 7 8 861 251 53 10 0 0 
1632016322.7448964 18.2111328125 71.75219614387056 988.2021535275203 3 6 7 3 6 7 870 256 55 8 0 0 
1632016327.901216 18.2060546875 71.78139875153578 988.2045919537206 3 6 7 3 6 7 870 256 55 8 0 0 
1632016333.05505 18.195703125 71.84015993774388 988.1878224317032 3 6 7 3 6 7 870 256 55 8 0 0 
1632016338.2084975 18.190625 71.87484538626629 988.2158232992095 4 6 7 4 6 7 846 247 52 4 0 0 
1632016343.3600845 18.195703125 71.98580988103328 988.2180075763331 4 6 7 4 6 7 846 247 52 4 0 0 
1632016348.5138433 18.2111328125 71.76494478405678 988.201899486279 4 6 7 4 6 7 846 247 52 4 0 0 
1632016353.667778 18.195703125 71.95696712377215 988.2029150012065 4 7 8 4 7 8 891 258 52 6 0 0 
1632016358.8253584 18.190625 71.98545146715664 988.2081994262112 3 6 7 3 6 7 891 258 52 6 0 0 
1632016363.9791076 18.185546875 71.90881453229136 988.1969678530746 3 6 7 3 6 7 891 258 52 6 0 0 
1632016369.1321173 18.175390625 72.07745329944082 988.1859894445744 3 6 7 3 6 7 858 249 55 8 2 0 
1632016374.285912 18.175390625 72.11797055026419 988.209465637564 4 7 8 4 7 8 858 249 55 8 2 0 
1632016379.4404721 18.175390625 71.98365923680836 988.1946268368671 4 8 8 4 8 8 1032 321 77 4 0 0 
1632016384.5941212 18.165234375 72.14752828616551 988.1991513034341 4 8 8 4 8 8 1032 321 77 4 0 0 
1632016389.7473655 18.155078125 72.01832480769026 988.1879194084485 4 8 8 4 8 8 1032 321 77 4 0 0 
1632016394.9004693 18.155078125 72.12235581407325 988.1867484404568 5 9 9 5 9 9 975 300 70 4 0 0 
1632016400.0542715 18.15 72.00521047930374 988.1735866946007 5 9 9 5 9 9 975 300 70 4 0 0 
1632016405.2090242 18.144921875 72.13403424483789 988.208799839702 5 9 9 5 9 9 975 300 70 4 0 0 
1632016410.3668382 18.15 72.10483809161366 988.1886780387529 5 8 8 5 8 8 984 302 63 4 0 0 
1632016415.521034 18.155078125 72.21030416690395 988.216931388198 5 8 8 5 8 8 984 302 63 4 0 0 
1632016420.6754844 18.175390625 72.17636509447229 988.2041819573751 5 8 8 5 8 8 984 302 63 4 0 0 
1632016425.8301506 18.165234375 72.0646819298669 988.1778582679032 5 9 9 5 9 9 963 295 60 4 0 0 
1632016430.984726 18.175390625 72.04861414691584 988.2240515673523 5 9 9 5 9 9 963 295 60 4 0 0 
1632016436.1390653 18.175390625 72.0544539027459 988.2159201523334 5 9 9 5 9 9 963 295 60 4 0 0 
1632016441.2953436 18.18046875 72.11321081598014 988.1821291108023 5 8 8 5 8 8 921 288 62 4 0 0 
1632016446.4494007 18.185546875 71.99093304383088 988.2034221086575 4 7 7 4 7 7 921 288 62 4 0 0 
1632016451.6039255 18.18046875 71.96137476733834 988.1821291108023 4 7 7 4 7 7 921 288 62 4 0 0 
1632016456.7605417 18.175390625 72.05481314986652 988.1723211596342 3 7 7 3 7 7 921 285 60 4 0 0 
1632016461.9140244 18.18046875 71.95589288348607 988.2050990340804 5 7 7 5 7 7 984 260 42 0 0 0 
1632016467.0685616 18.190625 71.99713159305438 988.1732374629194 5 7 7 5 7 7 984 260 42 0 0 0 
1632016472.2229583 18.185546875 72.10189113457562 988.177098418932 5 7 7 5 7 7 984 260 42 0 0 0 
1632016477.377106 18.195703125 72.1077309323195 988.1830453468915 4 6 6 4 6 6 870 234 38 0 0 0 
1632016482.5316844 18.20078125 72.04797179473664 987.8515672288227 3 5 5 3 5 5 870 234 38 0 0 0 
1632016487.6863482 18.2060546875 71.99236694489765 988.215569474676 3 5 5 3 5 5 870 234 38 0 0 0 
1632016492.8413246 18.195703125 71.98545146715664 988.1676990144459 3 4 4 3 4 4 840 222 31 0 0 0 
1632016497.9956498 18.20078125 72.0445698416721 988.1990535014172 4 5 5 4 5 5 840 222 31 0 0 0 
1632016503.149282 18.20078125 71.95148485303432 988.2208542399011 4 5 5 4 5 5 840 222 31 0 0 0 
1632016508.3035324 18.190625 71.99677303493586 988.1796914708289 4 6 6 4 6 6 918 243 29 0 0 0 
1632016513.4580226 18.190625 72.05517238625619 988.2045919537206 4 6 6 4 6 6 918 243 29 0 0 0 
1632016518.6100533 18.190625 72.1602886540539 988.1746606572559 4 6 6 4 6 6 918 243 29 0 0 0 
1632016523.7636485 18.190625 71.82263850871226 988.2211079154589 4 6 7 4 6 7 987 259 32 2 2 0 
1632016528.9218216 18.20078125 72.11501022820278 988.2110461159755 4 6 7 4 6 7 987 259 32 2 2 0 
1632016534.0757222 18.2060546875 71.97341300945452 988.1990535014172 4 6 7 4 6 7 987 259 32 2 2 0 
1632016539.2307909 18.20078125 71.8806857144293 988.1990535014172 4 6 7 4 6 7 1029 273 35 2 2 0 
1632016544.3844893 18.20078125 71.95696712377215 988.228985426275 4 6 6 4 6 6 774 231 46 0 0 0 
1632016549.537543 18.20078125 72.0967707017697 988.2163306232635 3 6 6 3 6 6 723 215 50 0 0 0 
1632016554.6882877 18.2060546875 72.04421077098146 988.2110461159755 3 6 6 3 6 6 723 215 50 0 0 0 
1632016559.8409398 18.20078125 71.90404692530765 988.2311697174416 3 6 6 3 6 6 723 215 50 0 0 0 
1632016564.9955406 18.185546875 72.11429049550645 988.2050990340804 4 6 6 4 6 6 789 225 43 0 0 0 
1632016570.1498919 18.195703125 71.90988720258382 988.2129767173328 4 6 6 4 6 6 789 225 43 0 0 0 
1632016575.3033938 18.20078125 72.027049481289 988.2304086095752 4 6 6 4 6 6 789 225 43 0 0 0 
1632016580.4579172 18.2212890625 71.92883885127054 988.2416399088611 4 6 6 4 6 6 834 235 41 2 0 0 
1632016585.6115286 18.2111328125 71.8872405582144 988.2088615005428 4 6 6 4 6 6 834 235 41 2 0 0 
1632016590.7648206 18.2162109375 71.98688505827721 988.2251236264156 4 6 6 4 6 6 834 235 41 2 0 0 
1632016595.9237652 18.2162109375 72.09236910462273 988.1937685628043 4 5 5 4 5 5 744 205 29 2 0 0 
1632016601.0787792 18.2060546875 71.9051192987441 988.2080992143343 4 5 5 4 5 5 744 205 29 2 0 0 
1632016606.2327893 18.2212890625 71.84742749018898 988.2284776689153 4 5 5 4 5 5 744 205 29 2 0 0 
1632016611.3873792 18.2060546875 71.88175728675252 988.200222479651 4 6 6 4 6 6 750 214 38 2 0 0 
1632016616.541966 18.2212890625 71.81238299930435 988.1887375848078 4 6 6 4 6 6 750 214 38 2 0 0 
1632016621.6962595 18.2212890625 72.02192691596407 988.2337626253997 4 6 6 4 6 6 750 214 38 2 0 0 
1632016626.8504236 18.2162109375 71.98616828417892 988.2287316017671 5 7 7 5 7 7 945 275 54 2 0 0 
1632016632.0039833 18.2162109375 71.91167477178357 988.206930506579 5 7 7 5 7 7 945 275 54 2 0 0 
1632016637.158658 18.2111328125 72.1221400923961 988.2452478855797 5 7 7 5 7 7 861 256 51 2 0 0 
1632016642.3130252 18.2212890625 71.93432158472687 988.2035764929761 4 6 6 4 6 6 861 256 51 2 0 0 
